ciudad,city,https://drive.google.com/uc?export=download&id=1Z-Eso3WBagIwQQkrFFQ4kMa9bzHNIiko,https://upload.wikimedia.org/wikipedia/commons/7/79/Es-am-lat-ciudad.ogg,see-you-dad
árbol,tree,https://drive.google.com/uc?export=download&id=1scxEYcS5F1AGcDAi7XdVkFdNahKQhpHX,https://upload.wikimedia.org/wikipedia/commons/b/bc/LL-Q1321_%28spa%29-Rodelar-%C3%A1rbol.wav,ahr-bohl
cruzar,cross,https://drive.google.com/uc?export=download&id=1scxEYcS5F1AGcDAi7XdVkFdNahKQhpHX,https://www.collinsdictionary.com/sounds/hwd_sounds/ES-419-W0021230.mp3,crew-sahr
granja,farm,https://drive.google.com/uc?export=download&id=12LG0-BY8sKZCzCXjYJSdjl50Ajy7G1n4,file:///Users/parker/Downloads/pronunciation_es_granja.mp3,grahn-hah
mar,sea,https://drive.google.com/uc?export=download&id=1vV-96d_LmXNc8RvexV2ED_UGtefn0o0b,https://upload.wikimedia.org/wikipedia/commons/9/9b/LL-Q1321_%28spa%29-Rodelar-mar.wav,mar
prensa,press,https://drive.google.com/uc?export=download&id=1wz3kTAGMtSn7AqzPecrg1FSon8fRY3Lp,https://easypronunciation.com/audio_hash/spanish_mexican/100/f9c4f8b2afc5b8380046a95549fbc0b4.mp3,prehn-sah
noche,night,https://drive.google.com/uc?export=download&id=1LywwWXfFuLqynJngzAUN6U82443MPpeP,https://upload.wikimedia.org/wikipedia/commons/4/4e/LL-Q1321_%28spa%29-Rodelar-noche.wav,no-chey
norte,north,https://drive.google.com/uc?export=download&id=1-nHzOe6zM5yX4ng0JZtO8NQerefiUvou,https://upload.wikimedia.org/wikipedia/commons/e/e7/LL-Q1321_%28spa%29-AdrianAbdulBaha-norte.wav,nohr-tay
gusta,idea,https://drive.google.com/uc?export=download&id=16qSXuCVMgOBDt5ZIqrw4ih5V-hS4eYiu,https://upload.wikimedia.org/wikipedia/commons/f/f7/Eo-gusta.ogg,goo-stah
caballo,horse,https://drive.google.com/uc?export=download&id=1idwRAshrCj3iqJKBWptip1F5brKvPLEg,https://easypronunciation.com/audio_hash/spanish_mexican/100/38261c07c2e294b4c1cf34c32f724df0.mp3,kah-bah-yoh
colores,color,https://drive.google.com/uc?export=download&id=1Xe-XRf-TCnHc4Pl09lYZrsowhq1vEQqV,https://easypronunciation.com/audio_hash/spanish_mexican/100/2491390e38587f4f211cb7e8ffdd5040.mp3,koh-low-rehs
madera,wood,https://drive.google.com/uc?export=download&id=1UZXaScKyStwky4N6Y4wyC57NL2qRVuSr,https://upload.wikimedia.org/wikipedia/commons/3/3b/LL-Q1321_%28spa%29-AdrianAbdulBaha-madera.wav,mah-day-rah
blanco,white,https://drive.google.com/uc?export=download&id=1TYEdtLmMMEtVbbU1eAMjTA_Q9_aeDHz1,https://upload.wikimedia.org/wikipedia/commons/c/ce/Es-am-lat-blanco.ogg,blahn-koh
caminar,walk,https://drive.google.com/uc?export=download&id=1BhbMGXamG4axeJ9-AKho2RVpAlDAEaNh,https://upload.wikimedia.org/wikipedia/commons/4/4c/LL-Q7026_%28cat%29-Unjoanqualsevol-caminar.wav,ka-mi-nar
papel,paper,https://drive.google.com/uc?export=download&id=1yTtE55Hthjg-nE-WOXbrme02GuTjmXa7,https://upload.wikimedia.org/wikipedia/commons/e/ef/LL-Q1321_%28spa%29-AdrianAbdulBaha-papel.wav,pah-pehl
música,music,https://drive.google.com/uc?export=download&id=1CAFZ8JtTr2_rS3ruzpMNpsbLVO_9ThVw,https://upload.wikimedia.org/wikipedia/commons/8/88/LL-Q1321_%28spa%29-AdrianAbdulBaha-m%C3%BAsica.wav,moo-see-kah
carta,letter,https://drive.google.com/uc?export=download&id=1CPPqhI_AiQ5j-iv5GJ8m4gazTyN1EyHx,https://upload.wikimedia.org/wikipedia/commons/9/92/Es-am-lat-carta.ogg,car-tah
río,river,https://drive.google.com/uc?export=download&id=1LJqU_43ZMHiFE3vimwg8Rck1PyeIxMN0,https://easypronunciation.com/audio_hash/spanish_mexican/100/866e9dabe1c4aecd7684864d6e850b46.mp3,rree-oh
coche,car,https://drive.google.com/uc?export=download&id=1Bu0WHnpb5fPV03K3oh93G9fA-HqFYD6x,https://upload.wikimedia.org/wikipedia/commons/3/3b/Es-coche.wav,koh-cheh
chica,girl,https://drive.google.com/uc?export=download&id=1k3N9Lh0s8jrOpQniOn2C0zp7bRCXTut3,https://upload.wikimedia.org/wikipedia/commons/c/cf/LL-Q1321_%28spa%29-AdrianAbdulBaha-chica.wav,chee-kah
rojo,red,https://drive.google.com/uc?export=download&id=1eBLYkauZsciukwewKfo107cSQ93zmT28,https://upload.wikimedia.org/wikipedia/commons/7/76/LL-Q1321_%28spa%29-Rodelar-rojo.wav,rroh-hoh
pájaro,bird,https://drive.google.com/uc?export=download&id=1XI0NZvqTgbr6rRuJOW5UW-IHt1nXFwOz,https://upload.wikimedia.org/wikipedia/commons/d/dd/LL-Q1321_%28spa%29-Millars-p%C3%A1jaro.wav,pah-hah-roh
perro,dog,https://drive.google.com/uc?export=download&id=18hAI9GdtBIUbPOAgc4mnIrQDHg8SdkPr,https://upload.wikimedia.org/wikipedia/commons/1/15/LL-Q1321_%28spa%29-Millars-perro.wav,peh-rroh
medir,measure,https://drive.google.com/uc?export=download&id=1FkNYThtTvRawqNhd0DVUuYFdiLJ4e65f,https://en.wiktionary.org/wiki/File:LL-Q1321_(spa)-AdrianAbdulBaha-medir.wav,meh-deer
puerta,door,https://drive.google.com/uc?export=download&id=1LR74EaC8-y0I8DL-H3jJ_Xq_4jpqb661,https://upload.wikimedia.org/wikipedia/commons/6/6b/LL-Q1321_%28spa%29-AdrianAbdulBaha-puerta.wav,pwehr-tah
negro,black,https://drive.google.com/uc?export=download&id=1MxIrvO5-HinFwyUgG6sLq7gAMKn0GpMC,https://upload.wikimedia.org/wikipedia/commons/d/d5/LL-Q1321_%28spa%29-Rodelar-negro.wav,neh-grow
clase,class,https://drive.google.com/uc?export=download&id=1fBHIggm0_Lkhs8bpFrgsZzfM0FmdxENL,https://upload.wikimedia.org/wikipedia/commons/7/79/LL-Q1321_%28spa%29-AdrianAbdulBaha-clase.wav,class-ay
buque,ship,https://drive.google.com/uc?export=download&id=1pvN8jNTQsEj8VRoGV3c1fD-pe3Ujm9U9,https://audio12.forvo.com/audios/mp3/i/1/i1_8985120_41_451853_1.mp3,boo-kay
roca,rock,https://drive.google.com/uc?export=download&id=18iIRfaGiz6Q8JYjhGmR3_UIJ9393iDNx,https://easypronunciation.com/audio_hash/spanish_mexican/100/a8a7f96b40aacf02fcd06839896619e8.mp3,rroh-kah
fuego,fire,https://drive.google.com/uc?export=download&id=1AYrODaU6lUKyMAwfBkaANA6er2GZf_-V,https://upload.wikimedia.org/wikipedia/commons/6/6c/LL-Q1321_%28spa%29-Rodelar-fuego.wav,fweh-goh
sur,south,https://drive.google.com/uc?export=download&id=10ARi_GlYzdlVgyhFf3oa9pL1Ksp978bR,https://upload.wikimedia.org/wikipedia/commons/a/ac/LL-Q1321_%28spa%29-AdrianAbdulBaha-sur.wav,soor
rey,king,https://drive.google.com/uc?export=download&id=1_lcZrCK9jYRDI4qEnwURviCdBOOyIMBZ,https://easypronunciation.com/audio_hash/spanish_mexican/100/90022fce9fc2df4fc2468880a6f8184b.mp3,rrey
calle,street,https://drive.google.com/uc?export=download&id=1JjoQswkp78Gy79sw7JQIkiwTIqG9eMB6,https://easypronunciation.com/audio_hash/spanish_mexican/100/44d2dfdd70ddc53cae803a6d10b65ba3.mp3,kah-lee
rueda,wheel,https://drive.google.com/uc?export=download&id=1hbXXDULHaASxC_Bt0tAbPj3SVa4TQ3WZ,https://easypronunciation.com/audio_hash/spanish_mexican/100/d44fd16770b612798f22beeebb18da82.mp3,rrweh-dah
azul,blue,https://drive.google.com/uc?export=download&id=1z7C3x8ia8odN-h106kfdoYk-yyh3aeLu,https://easypronunciation.com/audio_hash/spanish_mexican/100/893d1c13930ab7a91df3ae57696eaf88.mp3,ah-sool
luna,moon,https://drive.google.com/uc?export=download&id=1E_eFoIddLBzDgDsdmcpxj7o404JGGQ1U,https://upload.wikimedia.org/wikipedia/commons/8/87/LL-Q1321_%28spa%29-Rodelar-luna.wav,loo-nah
isla,island,https://drive.google.com/uc?export=download&id=1syM5hLqTYaWFxPMw-dr52jh65FDBIbYd,https://upload.wikimedia.org/wikipedia/commons/c/c7/LL-Q1321_%28spa%29-AdrianAbdulBaha-isla.wav,ees-lah
pie,foot,https://drive.google.com/uc?export=download&id=1Nvs0DJKll4slkDyQ4unprNgJLUZVcr6T,https://easypronunciation.com/audio_hash/spanish_mexican/100/b018ec34200fd32e0c3e49c3b193774c.mp3,pee-ay
registro,record,https://drive.google.com/uc?export=download&id=18hiR9MLRyjGaxc-u0x7t8T-9gGuEiVF2,https://upload.wikimedia.org/wikipedia/commons/e/e6/Es-registro-Ar-Rosario.ogg,rreh-hees-troh
barco,boat,https://drive.google.com/uc?export=download&id=19tZF1qFEumKMxfdVnEkn9h6i1OnSGqiT,https://upload.wikimedia.org/wikipedia/commons/e/ee/LL-Q1321_%28spa%29-AdrianAbdulBaha-barco.wav,bahr-koh
oro,gold,https://drive.google.com/uc?export=download&id=1rLZKGkyYaI3FxvPb6EoRBlr3fciUBz9T,https://upload.wikimedia.org/wikipedia/commons/7/77/LL-Q1321_%28spa%29-Millars-oro.wav,oh-roh
seco,dry,https://drive.google.com/uc?export=download&id=1dpHPxv8Luoge03yLkka_wSHJvhZW3x4P,https://audio12.forvo.com/audios/mp3/n/o/no_9167386_41_30511.mp3,seek-oh
risa,laugh,https://drive.google.com/uc?export=download&id=1Uy5lc3bkXCuxb31daEe5uCkcrhlhszgB,https://upload.wikimedia.org/wikipedia/commons/6/6f/LL-Q1321_%28spa%29-AdrianAbdulBaha-risa.wav,
juego,game,https://drive.google.com/uc?export=download&id=1Y_xpiDyyJ7E2SXhFm_UYr7Mn6Rhfd_d2,https://easypronunciation.com/audio_hash/spanish_mexican/100/efceca798b870070053ccda2c1a0c938.mp3,hweh-goh
caliente,hot,https://drive.google.com/uc?export=download&id=1_31d9sIJOXCNtVMtj7GVfYucolBDB4c_,https://audio12.forvo.com/audios/mp3/9/4/94_9188775_41_7350_179458.mp3,kah-lee-in-tay
