casa,home,https://drive.google.com/uc?id=1Dx_FLL4QWB25LTrRa-EQbVGTEvtxB0Mf,https://upload.wikimedia.org/wikipedia/commons/b/be/Es-bo-casa.oga,cah-sa
leer,read,https://drive.google.com/uc?id=1EgwgwHorpQMM05iN7tO4-iHhOnynHgRO,https://upload.wikimedia.org/wikipedia/commons/3/36/LL-Q1321_%28spa%29-AdrianAbdulBaha-leer.wav,lay-air
mano,hand,https://drive.google.com/uc?id=12_m7DtT20BVZA7qEaLjyzCyz7FLaMxXi,https://upload.wikimedia.org/wikipedia/commons/6/6c/LL-Q1321_%28spa%29-Rodelar-mano.wav,mah-no
puerto,port,https://drive.google.com/uc?id=1xrYIZpWePvD9QTseAjKxcTazr44Ss7a9,https://audio12.forvo.com/audios/mp3/u/4/u4_8982215_41_322318_1.mp3,pwhere-toe
tierra,land/Earth,https://drive.google.com/uc?id=1GYErE57_w8DtYcFW16AYdcmbrxjurtIf,https://upload.wikimedia.org/wikipedia/commons/1/12/LL-Q1321_%28spa%29-Rodelar-tierra.wav,tee-ay-rrah
luz,light,https://drive.google.com/uc?id=1bX9dcO4GP3MqeXCwSIf5EbwWcsbBgUms,https://upload.wikimedia.org/wikipedia/commons/4/49/Pt-br-luz.ogg,loose
imagen,picture,https://drive.google.com/uc?id=1cE-9EEP1ejIQRvmFYSMMUole_uv5EZCu,https://upload.wikimedia.org/wikipedia/commons/b/b4/LL-Q1321_%28spa%29-AdrianAbdulBaha-imagen.wav,ee-mah-hehn
animal,animal,https://drive.google.com/uc?id=11gpiJThWqBES5n60PvZ7q4rYqzcpFQTv,https://upload.wikimedia.org/wikipedia/commons/8/8c/LL-Q1321_%28spa%29-Millars-animal.wav,an-ah-mal
madre,mother,https://drive.google.com/uc?id=1cEBsAGpT290ubbCd0A4xGEDfKT7Aqchd,https://upload.wikimedia.org/wikipedia/commons/f/fd/Es-madre-bo-La_Paz.ogg,mah-drey
construir,build,https://drive.google.com/uc?id=1NRC1mpMk7uKiZOEl5l4goN-NpY9lEoQc,https://upload.wikimedia.org/wikipedia/commons/f/f5/Pt-br-construir.oga,cons-tweer
